,Script,Execution Result on Clean Data,Execution Result on Corrupted Data,Model,Strategy,Passed Constraints (Clean),Passed Constraints (Corrupted),Failed Constraints (Clean),Failed Constraints (Corrupted)
73,dev_4,success,success,gpt-4o,with_deequ,6,6,0,0
74,dev_4,success,success,gpt-4o,with_experience,4,4,0,0
75,dev_5,success,success,deequ,None,33,33,1,1
76,dev_5,success,success,deequ,column_skipped,30,30,0,0
77,dev_5,success,success,gpt-4o,None,3,3,0,0
78,dev_5,success,success,gpt-4o,with_deequ,4,4,0,0
79,dev_5,success,success,gpt-4o,with_experience,6,6,0,0
80,dev_6,success,success,deequ,None,33,33,1,1
81,dev_6,success,success,deequ,column_skipped,30,30,0,0
82,dev_6,success,success,gpt-4o,None,3,3,0,0
83,dev_6,success,success,gpt-4o,with_deequ,3,3,0,0
84,dev_6,success,success,gpt-4o,with_experience,5,5,0,0
85,dev_7,success,success,deequ,None,33,33,1,1
86,dev_7,success,success,deequ,column_skipped,30,30,0,0
87,dev_7,success,success,gpt-4o,None,7,7,0,0
88,dev_7,success,success,gpt-4o,with_deequ,8,8,0,0
89,dev_7,success,success,gpt-4o,with_experience,7,7,0,0
90,dev_8,success,success,deequ,None,33,33,1,1
91,dev_8,success,success,deequ,column_skipped,30,30,0,0
92,dev_8,success,success,gpt-4o,None,8,8,0,0
93,dev_8,success,success,gpt-4o,with_deequ,7,7,0,0
94,dev_8,success,success,gpt-4o,with_experience,8,8,0,0
95,dev_9,success,success,deequ,None,33,33,1,1
96,dev_9,success,success,deequ,column_skipped,30,30,0,0
97,dev_9,success,success,gpt-4o,None,3,3,0,0
98,dev_9,success,success,gpt-4o,with_deequ,7,7,0,0
99,dev_9,success,success,gpt-4o,with_experience,7,7,0,0
100,feature_engineering_0,success,success,deequ,None,33,33,1,1
101,feature_engineering_0,success,success,deequ,column_skipped,30,30,0,0
102,feature_engineering_0,success,success,gpt-4o,None,3,3,0,0
103,feature_engineering_0,success,success,gpt-4o,with_deequ,5,5,0,0
104,feature_engineering_0,success,success,gpt-4o,with_experience,4,4,0,0
105,feature_engineering_1,success,success,deequ,None,33,33,1,1
106,feature_engineering_1,success,success,deequ,column_skipped,30,30,0,0
107,feature_engineering_1,success,success,gpt-4o,None,2,2,0,0
108,feature_engineering_1,success,success,gpt-4o,with_deequ,4,4,0,0
109,feature_engineering_1,success,success,gpt-4o,with_experience,4,4,0,0
110,feature_engineering_2,error,error,deequ,None,33,33,1,1
111,feature_engineering_2,error,error,deequ,column_skipped,30,30,0,0
112,feature_engineering_2,error,error,gpt-4o,None,4,4,0,0
113,feature_engineering_2,error,error,gpt-4o,with_deequ,3,3,0,0
114,feature_engineering_2,error,error,gpt-4o,with_experience,2,2,0,0
115,feature_engineering_3,success,success,deequ,None,33,33,1,1
116,feature_engineering_3,success,success,deequ,column_skipped,30,30,0,0
117,feature_engineering_3,success,success,gpt-4o,None,4,4,0,0
118,feature_engineering_3,success,success,gpt-4o,with_deequ,4,4,0,0
119,feature_engineering_3,success,success,gpt-4o,with_experience,4,4,0,0
120,feature_engineering_4,success,success,deequ,None,33,33,1,1
121,feature_engineering_4,success,success,deequ,column_skipped,30,30,0,0
122,feature_engineering_4,success,success,gpt-4o,None,0,0,0,0
123,feature_engineering_4,success,success,gpt-4o,with_deequ,3,3,0,0
124,feature_engineering_4,success,success,gpt-4o,with_experience,3,3,0,0
125,feature_engineering_5,success,success,deequ,None,33,33,1,1
126,feature_engineering_5,success,success,deequ,column_skipped,30,30,0,0
127,feature_engineering_5,success,success,gpt-4o,None,4,4,0,0
128,feature_engineering_5,success,success,gpt-4o,with_deequ,5,5,0,0
129,feature_engineering_5,success,success,gpt-4o,with_experience,4,4,0,0
130,feature_engineering_6,success,success,deequ,None,33,33,1,1
131,feature_engineering_6,success,success,deequ,column_skipped,30,30,0,0
132,feature_engineering_6,success,success,gpt-4o,None,2,2,0,0
133,feature_engineering_6,success,success,gpt-4o,with_deequ,3,3,0,0
134,feature_engineering_6,success,success,gpt-4o,with_experience,4,4,0,0
135,feature_engineering_7,error,error,deequ,None,33,33,1,1
136,feature_engineering_7,error,error,deequ,column_skipped,30,30,0,0
137,feature_engineering_7,error,error,gpt-4o,None,1,1,0,0
138,feature_engineering_7,error,error,gpt-4o,with_deequ,22,22,0,0
139,feature_engineering_7,error,error,gpt-4o,with_experience,4,4,0,0
140,feature_engineering_8,success,success,deequ,None,33,33,1,1
141,feature_engineering_8,success,success,deequ,column_skipped,30,30,0,0
142,feature_engineering_8,success,success,gpt-4o,None,2,2,0,0
143,feature_engineering_8,success,success,gpt-4o,with_deequ,2,2,0,0
144,feature_engineering_8,success,success,gpt-4o,with_experience,2,2,0,0
145,feature_engineering_9,success,success,deequ,None,33,33,1,1
146,feature_engineering_9,success,success,deequ,column_skipped,30,30,0,0
147,feature_engineering_9,success,success,gpt-4o,None,1,1,0,0
148,feature_engineering_9,success,success,gpt-4o,with_deequ,2,2,0,0
149,feature_engineering_9,success,success,gpt-4o,with_experience,3,3,0,0
